记录编号,问卷编号,性别,年龄,出生年份,户口类型,教育程度,婚姻状况,家庭人数,个人年收入,劳动收入,当前社会阶层_1到10,十年前社会阶层,十年后预期阶层,14岁家庭阶层,主观社会经济地位_上层到下层,知足感_与人比较,家庭收入满意度,朋友数量比较,运气比较_比别人差,吃亏感_与人比较,幸福感,逛街购物频率,上网频率,社会比较倾向,经济不满意度,地位提升期望,相对剥夺感,抽样权重
1378,1378.0,2.0,31.0,1990.0,1.0,6.0,3.0,2.0,50000.0,50000.0,5.0,6.0,4.0,5.0,4.0,5.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,30.0,80.0,0.0,46.666666666666664,1.274220585823059
1381,1381.0,2.0,40.0,1981.0,1.0,11.0,6.0,1.0,40000.0,40000.0,5.0,5.0,7.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,0.0,4.0,1.0,60.0,80.0,22.22222222222222,86.66666666666667,0.5989813208580017
1382,1382.0,2.0,42.0,1979.0,1.0,3.0,3.0,4.0,20000.0,20000.0,5.0,5.0,8.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,0.0,2.0,2.0,50.0,40.0,33.33333333333333,93.33333333333333,1.7848711013793943
1383,1383.0,1.0,29.0,1992.0,1.0,9.0,3.0,4.0,50000.0,50000.0,2.0,2.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,2.0,0.0,2.0,1.0,30.0,20.0,33.33333333333333,60.0,2.2838213443756104
1385,1385.0,1.0,48.0,1973.0,1.0,6.0,3.0,4.0,40000.0,40000.0,3.0,3.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,0.0,5.0,1.0,60.0,20.0,22.22222222222222,60.0,1.2422045469284058
1397,1397.0,1.0,56.0,1965.0,1.0,6.0,3.0,6.0,10000.0,10000.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,6.0,0.0,1.0,1.0,60.0,60.0,22.22222222222222,80.0,0.7361397743225098
1400,1400.0,2.0,46.0,1975.0,1.0,3.0,3.0,3.0,50000.0,50000.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,1.0,30.0,20.0,44.44444444444444,40.0,1.173103094100952
1401,1401.0,1.0,20.0,2001.0,1.0,12.0,1.0,3.0,0.0,0.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,3.0,30.0,20.0,22.22222222222222,40.0,0.6456851959228516
1407,1407.0,2.0,68.0,1953.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,0.0,5.0,5.0,30.0,80.0,0.0,60.0,0.220629796385765
1408,1408.0,1.0,35.0,1986.0,1.0,6.0,3.0,2.0,50000.0,50000.0,4.0,3.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,40.0,80.0,0.0,40.0,1.298323154449463
1410,1410.0,1.0,48.0,1973.0,1.0,4.0,3.0,1.0,30000.0,30000.0,6.0,2.0,6.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,0.0,4.0,1.0,60.0,40.0,0.0,53.333333333333336,2.317518472671509
1411,1411.0,1.0,74.0,1947.0,1.0,4.0,3.0,10.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,0.0,5.0,5.0,60.0,20.0,0.0,100.0,0.627627432346344
1412,1412.0,2.0,31.0,1990.0,1.0,6.0,3.0,5.0,0.0,0.0,6.0,6.0,8.0,6.0,3.0,5.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,30.0,80.0,22.22222222222222,53.333333333333336,1.274220585823059
1414,1414.0,1.0,68.0,1953.0,1.0,6.0,3.0,9.0,15000.0,15000.0,5.0,10.0,7.0,1.0,3.0,5.0,5.0,4.0,2.0,4.0,0.0,4.0,5.0,50.0,20.0,22.22222222222222,66.66666666666666,0.403068482875824
1415,1415.0,2.0,59.0,1962.0,1.0,4.0,7.0,2.0,0.0,0.0,2.0,2.0,2.0,8.0,5.0,5.0,2.0,2.0,5.0,5.0,0.0,5.0,1.0,60.0,80.0,0.0,80.0,0.7228516936302185
1418,1418.0,2.0,57.0,1964.0,1.0,1.0,7.0,0.0,0.0,0.0,8.0,4.0,5.0,6.0,1.0,2.0,5.0,2.0,2.0,2.0,0.0,5.0,5.0,60.0,20.0,0.0,40.0,0.2722596228122711
1433,1433.0,1.0,59.0,1962.0,1.0,12.0,3.0,3.0,70000.0,70000.0,3.0,3.0,3.0,0.0,4.0,5.0,4.0,1.0,4.0,3.0,0.0,3.0,1.0,40.0,40.0,0.0,53.333333333333336,0.443253606557846
1435,1435.0,1.0,67.0,1954.0,1.0,1.0,3.0,3.0,45000.0,0.0,5.0,5.0,5.0,2.0,3.0,6.0,6.0,6.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,0.0,60.0,0.4191851019859314
1438,1438.0,1.0,22.0,1999.0,1.0,12.0,1.0,2.0,5000000.0,5000000.0,5.0,1.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,0.0,40.0,0.6456851959228516
1439,1439.0,2.0,36.0,1985.0,1.0,4.0,3.0,3.0,20000.0,20000.0,1.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,0.0,3.0,1.0,60.0,80.0,33.33333333333333,73.33333333333333,1.2748862504959106
1442,1442.0,2.0,33.0,1988.0,1.0,10.0,3.0,2.0,0.0,0.0,3.0,1.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,1.0,40.0,40.0,22.22222222222222,40.0,1.5002520084381104
1445,1445.0,1.0,81.0,1940.0,1.0,7.0,3.0,1.0,84000.0,0.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,2.0,1.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,33.33333333333333,0.7829976081848145
1446,1446.0,2.0,79.0,1942.0,1.0,2.0,7.0,0.0,0.0,0.0,6.0,7.0,6.0,3.0,3.0,6.0,6.0,2.0,2.0,2.0,0.0,5.0,5.0,30.0,20.0,0.0,40.0,0.2929410338401794
1447,1447.0,1.0,60.0,1961.0,1.0,6.0,3.0,1.0,36000.0,36000.0,5.0,3.0,6.0,8.0,3.0,5.0,4.0,3.0,5.0,5.0,0.0,1.0,5.0,60.0,40.0,11.11111111111111,86.66666666666667,0.7913957238197327
1448,1448.0,2.0,65.0,1956.0,1.0,4.0,3.0,1.0,28800.0,0.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,1.0,4.0,1.0,0.0,3.0,5.0,20.0,20.0,0.0,40.0,0.5857733488082886
1449,1449.0,2.0,57.0,1964.0,1.0,4.0,3.0,7.0,0.0,0.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,5.0,3.0,30.0,20.0,11.11111111111111,40.0,1.069821000099182
1453,1453.0,1.0,69.0,1952.0,1.0,4.0,3.0,0.0,40000.0,0.0,6.0,6.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,0.0,53.333333333333336,0.7519850730895996
1455,1455.0,2.0,53.0,1968.0,1.0,1.0,3.0,2.0,5000000.0,5000000.0,5.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,2.0,0.0,5.0,5.0,30.0,80.0,0.0,80.0,0.5325533747673035
1457,1457.0,1.0,49.0,1972.0,1.0,4.0,3.0,3.0,50000.0,50000.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0,0.0,2.0,1.0,80.0,100.0,22.22222222222222,73.33333333333333,2.317518472671509
1458,1458.0,2.0,31.0,1990.0,1.0,4.0,3.0,4.0,40000.0,40000.0,4.0,4.0,6.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,80.0,22.22222222222222,40.0,2.3772497177124023
1461,1461.0,2.0,63.0,1958.0,1.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,6.0,6.0,2.0,1.0,0.0,2.0,1.0,40.0,20.0,0.0,53.333333333333336,0.6164731383323669
1466,1466.0,2.0,56.0,1965.0,1.0,1.0,3.0,0.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,6.0,5.0,2.0,0.0,1.0,5.0,60.0,80.0,0.0,80.0,0.4029451906681061
1480,1480.0,2.0,58.0,1963.0,1.0,4.0,3.0,2.0,110000.0,110000.0,6.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,40.0,1.069821000099182
1486,1486.0,2.0,68.0,1953.0,1.0,3.0,3.0,8.0,1200.0,0.0,5.0,4.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,0.0,4.0,1.0,40.0,20.0,11.11111111111111,60.0,0.5633572340011597
1492,1492.0,1.0,63.0,1958.0,1.0,6.0,3.0,4.0,20000.0,20000.0,5.0,9.0,2.0,6.0,3.0,6.0,6.0,2.0,2.0,1.0,0.0,5.0,4.0,20.0,20.0,0.0,33.33333333333333,0.5347256064414978
1499,1499.0,1.0,71.0,1950.0,1.0,3.0,7.0,0.0,1400.0,5000000.0,5.0,3.0,7.0,1.0,3.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,1.0,60.0,0.0,22.22222222222222,100.0,0.6036099195480347
1502,1502.0,2.0,73.0,1948.0,1.0,1.0,7.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,6.0,6.0,0.0,5.0,5.0,90.0,100.0,0.0,86.66666666666667,0.1841439604759216
1504,1504.0,2.0,39.0,1982.0,1.0,4.0,3.0,4.0,5000000.0,5000000.0,6.0,8.0,6.0,6.0,3.0,5.0,6.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,40.0,1.886836051940918
1506,1506.0,1.0,55.0,1966.0,1.0,4.0,3.0,1.0,55000.0,55000.0,4.0,2.0,5.0,1.0,4.0,6.0,5.0,1.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,33.33333333333333,0.9279582500457764
1512,1512.0,1.0,20.0,2001.0,1.0,12.0,1.0,2.0,5000000.0,5000000.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,46.666666666666664,0.9556162357330322
1516,1516.0,1.0,65.0,1956.0,1.0,6.0,3.0,4.0,20000.0,10000.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,5.0,30.0,20.0,0.0,60.0,0.5965415835380554
1520,1520.0,2.0,63.0,1958.0,1.0,5.0,3.0,4.0,5000000.0,5000000.0,6.0,5.0,6.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,0.0,5.0,5.0,70.0,40.0,0.0,73.33333333333333,0.4165358245372772
1523,1523.0,1.0,70.0,1951.0,1.0,3.0,3.0,0.0,50000.0,0.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,0.0,1.0,5.0,50.0,60.0,0.0,73.33333333333333,0.6036099195480347
1525,1525.0,2.0,58.0,1963.0,1.0,3.0,3.0,5.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,5.0,5.0,20.0,20.0,0.0,20.0,0.6951900720596313
1526,1526.0,2.0,63.0,1958.0,1.0,6.0,7.0,0.0,36000.0,5000000.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,0.0,4.0,1.0,70.0,80.0,0.0,93.33333333333333,0.6164731383323669
1530,1530.0,2.0,54.0,1967.0,1.0,3.0,3.0,0.0,21000.0,21000.0,5.0,1.0,6.0,1.0,4.0,1.0,4.0,6.0,2.0,3.0,0.0,4.0,4.0,80.0,40.0,11.11111111111111,66.66666666666666,1.3598268032073977
1533,1533.0,2.0,58.0,1963.0,1.0,3.0,3.0,1.0,10000.0,10000.0,7.0,4.0,7.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,2.0,1.0,60.0,40.0,0.0,66.66666666666666,1.0288825035095217
1535,1535.0,2.0,59.0,1962.0,1.0,1.0,3.0,5.0,0.0,0.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,1.0,50.0,20.0,0.0,93.33333333333333,0.4029451906681061
1538,1538.0,1.0,82.0,1939.0,1.0,6.0,3.0,0.0,54000.0,54000.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,0.0,5.0,2.0,20.0,20.0,0.0,20.0,0.7829976081848145
1539,1539.0,2.0,41.0,1980.0,1.0,7.0,3.0,1.0,50000.0,50000.0,6.0,5.0,7.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,11.11111111111111,60.0,0.9947683811187744
1542,1542.0,1.0,21.0,2000.0,1.0,12.0,1.0,2.0,18000.0,0.0,5.0,4.0,7.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,22.22222222222222,40.0,0.9556162357330322
1543,1543.0,2.0,69.0,1952.0,1.0,4.0,7.0,0.0,12000.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,2.0,6.0,3.0,0.0,3.0,5.0,40.0,80.0,0.0,66.66666666666666,0.8669463396072388
1546,1546.0,1.0,32.0,1989.0,1.0,4.0,3.0,5.0,80000.0,80000.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,2.0,0.0,4.0,1.0,30.0,60.0,11.11111111111111,60.0,2.0620133876800537
1547,1547.0,1.0,44.0,1977.0,8.0,3.0,3.0,5.0,20000.0,20000.0,5.0,5.0,0.0,2.0,5.0,4.0,1.0,2.0,6.0,2.0,0.0,5.0,1.0,40.0,100.0,0.0,60.0,1.548188328742981
1549,1549.0,1.0,35.0,1986.0,1.0,4.0,1.0,2.0,10000.0,10000.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0,60.0,100.0,0.0,40.0,2.422216892242432
1551,1551.0,1.0,60.0,1961.0,1.0,6.0,3.0,2.0,12000.0,0.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,20.0,20.0,0.0,40.0,0.7913957238197327
1554,1554.0,2.0,60.0,1961.0,1.0,4.0,3.0,0.0,24000.0,0.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,0.0,4.0,2.0,70.0,80.0,0.0,80.0,1.1501234769821167
1557,1557.0,2.0,58.0,1963.0,1.0,10.0,4.0,0.0,100000.0,100000.0,4.0,3.0,6.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,22.22222222222222,40.0,0.6751500964164734
1559,1559.0,1.0,47.0,1974.0,1.0,12.0,4.0,2.0,1000000.0,1000000.0,1.0,10.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,2.0,0.0,3.0,1.0,30.0,20.0,0.0,26.666666666666668,0.74797123670578
1562,1562.0,1.0,32.0,1989.0,1.0,6.0,3.0,1.0,60000.0,60000.0,6.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,0.0,3.0,1.0,50.0,20.0,0.0,46.666666666666664,1.635776400566101
1564,1564.0,2.0,31.0,1990.0,1.0,3.0,3.0,1.0,40000.0,40000.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0,3.0,0.0,4.0,1.0,70.0,80.0,11.11111111111111,86.66666666666667,2.2862794399261475
1568,1568.0,2.0,68.0,1953.0,1.0,3.0,7.0,4.0,32400.0,6480.0,3.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,2.0,5.0,30.0,20.0,11.11111111111111,60.0,0.8337709903717041
1569,1569.0,2.0,61.0,1960.0,1.0,3.0,4.0,1.0,2000.0,0.0,5.0,5.0,5.0,3.0,5.0,6.0,4.0,1.0,2.0,2.0,0.0,5.0,5.0,30.0,40.0,0.0,33.33333333333333,1.1061114072799685
1575,1575.0,2.0,28.0,1993.0,1.0,12.0,3.0,1.0,130000.0,130000.0,8.0,7.0,10.0,6.0,2.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,22.22222222222222,40.0,0.9098203778266908
1578,1578.0,1.0,32.0,1989.0,1.0,10.0,3.0,5.0,40000.0,40000.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,50.0,80.0,11.11111111111111,60.0,1.9259430170059204
1579,1579.0,2.0,64.0,1957.0,1.0,6.0,3.0,1.0,0.0,0.0,6.0,2.0,5.0,2.0,4.0,5.0,2.0,5.0,5.0,6.0,0.0,3.0,5.0,60.0,80.0,0.0,100.0,0.4165358245372772
1583,1583.0,1.0,69.0,1952.0,1.0,7.0,3.0,1.0,50000.0,5000000.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,0.0,3.0,4.0,30.0,20.0,0.0,60.0,0.5965415835380554
1588,1588.0,1.0,51.0,1970.0,1.0,9.0,3.0,1.0,100000.0,90000.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,40.0,1.1455050706863403
1590,1590.0,2.0,46.0,1975.0,1.0,4.0,3.0,4.0,50000.0,50000.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,0.0,5.0,1.0,50.0,20.0,0.0,73.33333333333333,1.8052794933319087
1592,1592.0,2.0,76.0,1945.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,2.0,2.0,6.0,6.0,5.0,0.0,5.0,5.0,90.0,80.0,0.0,100.0,0.1979330331087112
1595,1595.0,1.0,36.0,1985.0,1.0,13.0,3.0,2.0,120000.0,120000.0,6.0,4.0,7.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,50.0,40.0,11.11111111111111,60.0,0.645849883556366
1597,1597.0,1.0,21.0,2000.0,1.0,12.0,1.0,3.0,0.0,0.0,5.0,5.0,8.0,7.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,33.33333333333333,40.0,0.9556162357330322
1616,1616.0,2.0,55.0,1966.0,1.0,3.0,3.0,0.0,0.0,0.0,6.0,5.0,7.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,40.0,20.0,11.11111111111111,40.0,1.0288825035095217
1618,1618.0,2.0,31.0,1990.0,1.0,4.0,3.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,0.0,5.0,1.0,30.0,20.0,0.0,60.0,1.606249213218689
1619,1619.0,1.0,55.0,1966.0,1.0,4.0,3.0,4.0,30000.0,30000.0,4.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,11.11111111111111,60.0,0.9279582500457764
1622,1622.0,2.0,67.0,1954.0,1.0,3.0,3.0,4.0,0.0,0.0,6.0,2.0,8.0,1.0,3.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0,5.0,20.0,20.0,22.22222222222222,26.666666666666668,0.8337709903717041
1623,1623.0,2.0,65.0,1956.0,1.0,4.0,6.0,0.0,40000.0,0.0,5.0,10.0,5.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,40.0,0.8669463396072388
1624,1624.0,1.0,67.0,1954.0,1.0,10.0,3.0,1.0,100000.0,0.0,7.0,6.0,8.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,20.0,11.11111111111111,40.0,0.7023607492446899
1628,1628.0,2.0,61.0,1960.0,1.0,4.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,0.0,3.0,5.0,30.0,80.0,0.0,40.0,1.1501234769821167
1631,1631.0,2.0,41.0,1980.0,1.0,4.0,3.0,2.0,5000000.0,5000000.0,5.0,3.0,0.0,3.0,0.0,5.0,5.0,1.0,2.0,1.0,0.0,4.0,1.0,20.0,20.0,0.0,26.666666666666668,1.855890393257141
1634,1634.0,1.0,43.0,1978.0,1.0,4.0,3.0,3.0,15000.0,15000.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,5.0,5.0,5.0,0.0,2.0,1.0,60.0,80.0,11.11111111111111,100.0,2.3824901580810547
1636,1636.0,1.0,60.0,1961.0,1.0,6.0,3.0,3.0,130000.0,60000.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,0.0,2.0,4.0,30.0,20.0,0.0,60.0,0.7913957238197327
1641,1641.0,2.0,55.0,1966.0,1.0,4.0,3.0,2.0,20000.0,0.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,2.0,4.0,2.0,0.0,4.0,1.0,30.0,20.0,0.0,53.333333333333336,1.069821000099182
1642,1642.0,1.0,64.0,1957.0,1.0,3.0,3.0,4.0,25000.0,25000.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,2.0,1.0,6.0,0.0,5.0,5.0,60.0,20.0,0.0,53.333333333333336,1.4199672937393188
1647,1647.0,1.0,65.0,1956.0,1.0,6.0,3.0,1.0,25000.0,25000.0,5.0,8.0,6.0,1.0,1.0,6.0,6.0,3.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,46.666666666666664,0.5965415835380554
1650,1650.0,1.0,52.0,1969.0,1.0,4.0,3.0,4.0,25000.0,25000.0,5.0,5.0,7.0,4.0,4.0,6.0,6.0,5.0,2.0,3.0,0.0,2.0,1.0,40.0,20.0,22.22222222222222,66.66666666666666,1.8151326179504397
1654,1654.0,1.0,51.0,1970.0,1.0,3.0,3.0,2.0,30000.0,30000.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0,4.0,3.0,1.0,0.0,2.0,5.0,20.0,0.0,0.0,53.333333333333336,1.7456731796264648
1659,1659.0,1.0,55.0,1966.0,1.0,3.0,3.0,4.0,40000.0,40000.0,6.0,3.0,8.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,0.0,4.0,5.0,50.0,40.0,22.22222222222222,53.333333333333336,0.892448365688324
1663,1663.0,1.0,65.0,1956.0,1.0,4.0,3.0,1.0,0.0,0.0,6.0,4.0,8.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,0.0,5.0,5.0,30.0,20.0,22.22222222222222,26.666666666666668,1.1129382848739624
1669,1669.0,1.0,70.0,1951.0,1.0,1.0,3.0,1.0,4000.0,0.0,5.0,10.0,10.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,1.0,5.0,60.0,20.0,55.55555555555556,80.0,0.2363941520452499
1681,1681.0,2.0,35.0,1986.0,1.0,11.0,3.0,3.0,200000.0,200000.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0,60.0,80.0,0.0,53.333333333333336,0.4114655554294586
1682,1682.0,2.0,70.0,1951.0,1.0,3.0,3.0,1.0,5000.0,5000.0,6.0,5.0,7.0,2.0,5.0,5.0,3.0,6.0,5.0,4.0,0.0,4.0,5.0,50.0,60.0,11.11111111111111,93.33333333333333,0.470194548368454
1689,1689.0,2.0,42.0,1979.0,1.0,5.0,3.0,2.0,50000.0,50000.0,5.0,4.0,6.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,30.0,20.0,11.11111111111111,40.0,0.6721392273902893
1699,1699.0,2.0,57.0,1964.0,1.0,6.0,7.0,3.0,31200.0,0.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,4.0,3.0,50.0,40.0,11.11111111111111,46.666666666666664,0.3874530792236328
1702,1702.0,1.0,68.0,1953.0,1.0,3.0,3.0,0.0,4000.0,4000.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,40.0,80.0,11.11111111111111,40.0,0.7232084274291992
1711,1711.0,2.0,38.0,1983.0,1.0,4.0,3.0,3.0,30000.0,30000.0,3.0,2.0,3.0,1.0,5.0,6.0,4.0,5.0,4.0,4.0,0.0,4.0,1.0,50.0,40.0,0.0,86.66666666666667,1.886836051940918
1712,1712.0,2.0,59.0,1962.0,1.0,4.0,3.0,1.0,25000.0,25000.0,1.0,0.0,1.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,0.0,1.0,5.0,30.0,80.0,0.0,60.0,1.069821000099182
1716,1716.0,2.0,63.0,1958.0,1.0,0.0,4.0,1.0,30000.0,0.0,7.0,5.0,8.0,1.0,2.0,5.0,5.0,2.0,2.0,4.0,0.0,4.0,1.0,50.0,20.0,11.11111111111111,53.333333333333336,0.8021438121795654
1717,1717.0,1.0,33.0,1988.0,1.0,4.0,1.0,5.0,50000.0,50000.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,0.0,5.0,1.0,30.0,20.0,0.0,40.0,2.0620133876800537
1718,1718.0,1.0,60.0,1961.0,1.0,6.0,3.0,1.0,24000.0,24000.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,5.0,1.0,50.0,40.0,0.0,60.0,0.5347256064414978
1722,1722.0,2.0,34.0,1987.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,5.0,6.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,0.0,2.0,1.0,40.0,20.0,11.11111111111111,53.333333333333336,0.8609591126441956
1723,1723.0,1.0,34.0,1987.0,1.0,6.0,1.0,1.0,5000000.0,5000000.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,0.0,4.0,1.0,20.0,20.0,0.0,20.0,1.1052517890930176
1727,1727.0,1.0,32.0,1989.0,1.0,12.0,3.0,2.0,80000.0,80000.0,6.0,5.0,6.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,1.0,30.0,20.0,0.0,40.0,0.984953761100769
1729,1729.0,2.0,66.0,1955.0,1.0,4.0,3.0,1.0,35000.0,800.0,5.0,3.0,5.0,1.0,4.0,5.0,6.0,4.0,2.0,1.0,0.0,3.0,1.0,20.0,20.0,0.0,46.666666666666664,0.8669463396072388
1751,1751.0,2.0,58.0,1963.0,1.0,3.0,3.0,3.0,5000000.0,5000000.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,1.0,30.0,20.0,0.0,80.0,1.0288825035095217
1755,1755.0,2.0,65.0,1956.0,1.0,6.0,3.0,2.0,12000.0,0.0,10.0,10.0,10.0,10.0,2.0,5.0,5.0,3.0,2.0,2.0,0.0,1.0,5.0,30.0,20.0,0.0,46.666666666666664,0.4646885395050049
1756,1756.0,2.0,62.0,1959.0,1.0,4.0,3.0,5.0,13200.0,0.0,6.0,4.0,8.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,30.0,80.0,22.22222222222222,40.0,1.1501234769821167
1758,1758.0,1.0,18.0,2003.0,1.0,9.0,1.0,4.0,5000000.0,5000000.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,0.0,4.0,1.0,50.0,80.0,11.11111111111111,46.666666666666664,1.2625495195388794
